;t_id;h_id
489;2268;353
490;2268;103
491;2275;178
492;2300;155
493;2309;155
494;2311;174
495;2318;0
496;2320;398
497;2322;155
498;2323;155
499;2324;155
500;2326;155
501;2329;0
502;2330;0
503;2333;155
504;2333;273
505;2333;122
506;2334;155
507;2336;155
508;2337;155
509;2341;79
510;2341;106
511;2342;403
512;2344;155
513;2348;155
514;2350;155
515;2350;41
516;2351;403
517;2352;403
518;2354;155
519;2355;403
520;2360;155
521;2361;330
522;2361;155
523;2365;18
524;2365;332
525;2365;330
526;2368;155
527;2370;155
528;2371;155
529;2372;155
530;2375;155
531;2376;330
532;2376;155
533;2377;155
534;2379;155
535;2380;13
536;2381;330
537;2381;155
538;2382;155
539;2383;155
540;2384;155
541;2386;330
542;2388;155
543;2389;332
544;2389;330
545;2389;155
546;2396;175
547;2397;155
548;2409;155
549;2411;155
550;2412;155
551;2413;155
552;2415;155
553;2416;155
554;2417;155
555;2419;155
556;2420;155
557;2422;155
558;2423;155
559;2424;155
560;2432;155
561;2445;332
562;2446;155
563;2447;155
564;2450;155
565;2451;155
566;2454;155
567;2455;155
568;2458;155
569;2459;332
570;2459;155
571;2460;155
572;2463;155
573;2470;428
574;2474;268
575;2488;315
576;2491;155
577;2498;394
578;2519;328
579;2519;175
580;2521;174
581;2525;103
582;2535;40
583;2536;425
584;2550;228
585;2559;32
586;2561;179
587;2577;363
588;2578;288
589;2578;363
590;2584;424
591;2591;303
592;2598;303
593;2619;103
594;2619;185
595;2623;303
596;2623;363
597;2624;363
598;2626;288
599;2629;257
600;2631;288
601;2631;363
602;2633;172
603;2634;303
604;2640;303
605;2670;85
606;2670;195
607;2674;363
608;2687;186
609;2687;280
610;2692;288
611;2705;288
612;2707;324
613;2733;158
614;2738;330
615;2738;288
616;2739;288
617;2743;334
618;2745;288
619;2745;330
620;2748;201
621;2821;33
622;2825;260
623;2841;288
624;2841;330
625;2865;363
626;2866;330
627;2866;164
628;2868;330
629;2869;330
630;2870;363
631;2870;330
632;2874;363
633;2874;330
634;2877;363
635;2877;407
636;2879;363
637;2879;330
638;2881;330
639;2885;189
640;2891;158
641;2899;195
642;2906;329
643;2931;288
644;2937;5
645;2940;5
646;2948;303
647;2948;288
648;2950;316
649;2951;310
650;2953;352
651;2966;118
652;2971;129
653;2990;426
654;2999;288
655;2999;53
656;3000;366
657;3003;303
658;3014;162
659;3015;103
660;3016;88
661;3026;300
662;3027;300
663;3028;300
664;3029;300
665;3036;330
666;3046;108
667;3049;363
668;3059;372
669;3060;378
670;3061;372
671;3063;372
672;3064;372
673;3079;151
674;3080;98
675;3083;35
676;3084;352
677;3084;156
678;3088;362
679;3091;303
680;3093;118
681;3094;138
682;3098;138
683;3099;111
684;3099;193
685;3099;369
686;3099;138
687;3099;227
688;3100;138
689;3101;9
690;3101;193
691;3101;261
692;3103;100
693;3104;138
694;3105;138
695;3106;138
696;3106;236
697;3106;227
698;3107;87
699;3107;138
700;3110;234
701;3115;181
702;3115;19
703;3116;132
704;3125;362
705;3182;9
706;3184;9
707;3185;374
708;3206;122
709;3209;288
710;3210;288
711;3211;288
712;3211;330
713;3212;269
714;3216;288
715;3216;330
716;3217;288
717;3217;330
718;3220;288
719;3220;330
720;3224;330
721;3224;288
722;3226;330
723;3230;288
724;3230;330
725;3231;251
726;3235;330
727;3237;150
728;3243;352
729;3259;288
730;3260;133
731;3267;72
732;3267;71
733;3267;255
734;3272;330
735;3272;288
736;3273;330
737;3283;330
738;3286;72
739;3290;290
740;3297;272
741;3321;288
742;3333;190
743;3372;288
744;3372;330
745;3373;330
746;3375;330
747;3376;330
748;3376;350
749;3381;122
750;3384;288
751;3391;322
752;3391;288
753;3393;288
754;3405;288
755;3414;122
756;3421;288
757;3434;285
758;3457;103
759;3458;330
760;3458;288
761;3460;335
762;3464;103
763;3479;288
764;3480;103
765;3482;288
766;3483;288
767;3484;288
768;3486;288
769;3489;103
770;3512;122
771;3516;110
772;3532;390
773;3536;390
774;3541;104
775;3553;351
776;3555;316
777;3555;171
778;3555;122
779;3572;317
780;3572;350
781;3579;122
782;3579;110
783;3589;103
784;3600;389
785;3600;288
786;3607;288
787;3616;53
788;3616;73
789;3619;144
790;3632;21
791;3639;122
792;3639;288
793;3645;183
794;3645;29
795;3645;247
796;3647;122
797;3650;249
798;3657;122
799;3657;288
800;3683;288
801;3693;92
802;3704;375
803;3708;139
804;3710;288
805;3723;82
806;3731;288
807;3736;288
808;3740;288
809;3743;122
810;3743;288
811;3746;158
812;3751;157
813;3751;288
814;3753;288
815;3754;288
816;3757;15
817;3767;17
818;3769;288
819;3770;370
820;3791;350
821;3791;122
822;3795;288
823;3795;122
824;3797;288
825;3842;288
826;3847;288
827;3847;53
828;3858;182
829;3859;325
830;3865;350
831;3876;103
832;3877;288
833;3879;122
834;3879;288
835;3882;288
836;3882;135
837;3883;76
838;3883;401
839;3883;80
840;3889;296
841;3889;135
842;3904;158
843;3906;86
844;3935;288
845;3936;122
846;3945;192
847;3947;288
848;3947;122
849;3949;122
850;3965;149
851;3970;122
852;3979;352
853;4000;23
854;4000;114
855;4013;67
856;4019;118
857;4033;122
858;4033;288
859;4036;288
860;4043;288
861;4069;158
862;4070;262
863;4074;288
864;4076;288
865;4080;158
866;4092;127
867;4092;12
868;4111;122
869;4111;288
870;4113;122
871;4113;288
872;4118;122
873;4118;288
874;4120;122
875;4120;288
876;4130;23
877;4130;122
878;4130;288
879;4131;23
880;4131;122
881;4131;288
882;4138;196
883;4142;170
884;4142;288
885;4142;167
886;4166;277
887;4166;357
888;4166;210
889;4172;308
890;4180;275
891;4184;416
892;4210;122
893;4210;350
894;4214;288
895;4221;288
896;4221;122
897;4229;304
898;4233;421
899;4247;49
900;4267;373
901;4268;288
902;4268;122
903;4285;131
904;4285;23
905;4287;131
906;4287;288
907;4287;23
908;4290;288
909;4291;288
910;4291;23
911;4292;131
912;4292;23
913;4294;131
914;4294;23
915;4295;23
916;4295;131
917;4299;131
918;4300;122
919;4302;23
920;4302;131
921;4302;122
922;4304;131
923;4304;288
924;4307;288
925;4307;122
926;4326;131
927;4327;288
928;4327;131
929;4328;122
930;4329;383
931;4332;230
932;4334;225
933;4338;281
934;4339;288
935;4341;20
936;4343;20
937;4344;288
938;4344;53
939;4346;253
940;4351;20
941;4352;69
942;4353;20
943;4359;288
944;4364;288
945;4367;20
946;4368;20
947;4369;166
948;4371;352
949;4375;122
950;4376;158
951;4377;158
952;4396;288
953;4397;10
954;4398;122
955;4402;20
956;4407;107
957;4417;103
958;4440;288
959;4444;288
960;4445;288
961;4446;288
962;4447;288
963;4453;288
964;4456;122
965;4456;23
966;4457;23
967;4458;23
968;4459;23
969;4460;23
970;4467;423
971;4469;288
972;4474;36
973;4475;122
974;4475;288
975;4476;36
976;4477;336
977;4477;116
978;4477;422
979;4477;235
980;4477;345
981;4480;423
982;4481;122
983;4482;235
984;4482;23
985;4483;345
986;4483;23
987;4504;224
988;4504;210
989;4514;288
990;4514;122
991;4514;350
992;4515;122
993;4515;288
994;4517;122
995;4517;288
996;4519;122
997;4523;288
998;4525;288
999;4526;122
1000;4526;288
1001;4527;288
1002;4527;122
1003;4528;211
1004;4532;370
1005;4534;122
1006;4534;288
1007;4542;355
1008;4542;1
1009;4549;182
1010;4551;158
1011;4551;187
1012;4554;288
1013;4559;288
1014;4559;122
1015;4565;287
1016;4566;288
1017;4588;122
1018;4588;288
1019;4591;350
1020;4591;288
1021;4591;122
1022;4592;75
1023;4593;122
1024;4596;288
1025;4596;122
1026;4598;75
1027;4599;245
1028;4599;224
1029;4599;23
1030;4600;316
1031;4600;288
1032;4600;209
1033;4600;75
1034;4604;122
1035;4604;23
1036;4605;294
1037;4605;288
1038;4605;209
1039;4606;75
1040;4607;75
1041;4608;288
1042;4608;122
1043;4609;27
1044;4609;75
1045;4616;224
1046;4617;37
1047;4619;307
1048;4620;212
1049;4625;37
1050;4629;405
1051;4631;37
1052;4639;245
1053;4641;122
1054;4646;384
1055;4653;122
1056;4653;288
1057;4654;224
1058;4654;350
1059;4655;288
1060;4656;209
1061;4656;122
1062;4658;288
1063;4658;95
1064;4658;134
1065;4660;224
1066;4661;224
1067;4662;294
1068;4668;224
1069;4668;288
1070;4669;288
1071;4670;288
1072;4672;224
1073;4672;288
1074;4673;122
1075;4673;288
1076;4677;288
1077;4678;288
1078;4678;350
1079;4680;245
1080;4681;122
1081;4681;288
1082;4682;288
1083;4682;122
1084;4683;288
1085;4683;245
1086;4684;122
1087;4684;288
1088;4685;288
1089;4685;224
1090;4686;288
1091;4686;350
1092;4694;350
1093;4703;122
1094;4703;288
1095;4703;350
1096;4707;122
1097;4713;245
1098;4718;122
1099;4718;152
1100;4720;264
1101;4722;96
1102;4723;412
1103;4730;329
1104;4731;50
1105;4731;122
1106;4737;122
1107;4743;60
1108;4743;288
1109;4743;53
1110;4745;256
1111;4745;122
1112;4745;350
1113;4749;124
1114;4751;60
1115;4751;288
1116;4753;288
1117;4753;60
1118;4755;256
1119;4757;288
1120;4757;60
1121;4760;414
1122;4760;60
1123;4761;122
1124;4761;288
1125;4762;60
1126;4762;288
1127;4763;122
1128;4763;288
1129;4764;122
1130;4764;288
1131;4765;288
1132;4766;288
1133;4766;60
1134;4767;122
1135;4767;288
1136;4768;302
1137;4772;23
1138;4773;288
1139;4774;380
1140;4774;216
1141;4774;365
1142;4774;288
1143;4774;60
1144;4774;350
1145;4777;89
1146;4778;60
1147;4778;288
1148;4786;60
